2025-11-03 21:56:09,755 - scripts.services.llm_service - INFO - LLM原始返回: '待审查的关系对象描述了“大日本帝国”（Organization）与“慰安妇”（Organization）之间的“FOUNDED”（建立）关系。

首先，我们来分析节点类型。“大日本帝国”被明确标识为“Organization”，这符合规则中对“Organization”的定义，可以包括国家实体。然而，“慰安妇”被标识为“Organization”。根据提供的节点类型定义，“Organization”指的是“组织，包括职务、职级、泛称，包括国家。包括政府等行政区权力机关。” “慰安妇”并非一个具有独立法人资格或行政职能的组织，而更多是指代一个被强迫从事性服务的群体，或者是一个被建立的“制度”。如果将其视为一个“制度”或“体系”，那么它可能更符合“Movement”或“Document”的定义，例如“防火长城”被归类为“Movement”，而“一国两制”被归类为“Document”。但此处明确指定为“Organization”，我们需要基于此进行判断。

接下来，我们考察关系类型“FOUNDED”。该关系用于描述“实体创立组织的行为”。在当前案例中，“大日本帝国”（Organization）“FOUNDED”了“慰安妇”（Organization）。这暗示“慰安妇”作为一个“Organization”是被“大日本帝国”所建立的。描述中的“日本军队建立了‘慰安妇’制度”也支持了这种“建立”或“创建”的语义。

现在，我们来评估是否存在删除的必要性，严格依据【规则：需要删除的情况】。

1.  **方向错误**: “FOUNDED”关系是“Person/Organization/Event/Movement/Document -`FOUNDED`-> Organization”。源节点“大日本帝国”是Organization，目标节点“慰安妇”被标识为Organization。关系的类型和方向符合规则定义，不存在方向错误。

2.  **内容冗余**: 我们需要判断是否存在另一个更具体的、能够更准确地反映描述的关系类型，并且该关系类型应用于相同的source和target。
    *   “FOUNDED”的关系语义是“创立组织”。描述中提到“日本军队建立了‘慰安妇’制度”，这直接指向了“建立”这个动作。
    *   是否存在更具体的、可以替代“FOUNDED”的关系？“Person/Organization/Event/Movement/Document -`PUSHED`-> Person/Organization/Event/Movement/Document”关系描述“起推动、促进作用”。“慰安妇”制度的建立无疑是对该制度所涉及群体的“推动”或“促进”（从加害者角度而言，尽管是负面意义）。然而，“FOUNDED”比“PUSHED”更直接地描述了“建立”这一行为，特别是当目标是一个“Organization”时。“FOUNDED”就是专门为了描述这种“建立组织”的行为而设定的，其精确性高于“PUSHED”。
    *   “Person/Organization/Event/Movement/Document -`BLOCKED`-> Person/Organization/Event/Movement/Document”关系描述“起阻碍、反对作用”。显然不适用。
    *   “Person/Organization/Event/Movement/Document -`INFLUENCED`-> Person/Organization/Event/Document/Location”关系是通用关系。如果“FOUNDED”不能被精确描述，则考虑“INFLUENCED”。但“FOUNDED”本身就是一个非常具体的关系，用来描述“建立组织”。

    考虑到“FOUNDED”专门用于描述“实体创立组织的行为”，而描述明确提及“建立了‘慰安妇’制度”，并且目标节点被限定为“Organization”，那么“FOUNDED”关系是直接且准确的。即便“慰安妇”作为Organization的类型认定可能存在一些争议（例如，如果将其视为一个“制度”而非“实体组织”），但在给定类型的前提下，“FOUNDED”是直接指向“建立”这一核心语义的。

    我们再进一步思考，是否存在其他关系可以更准确地描述“大日本帝国”与“慰安妇”（作为Organization）之间的关系。
    *   `MEMBER_OF`: 不适用。
    *   `SUBORDINATE_OF`: 不适用，不是直接上下级汇报关系。
    *   `MET_WITH`: 不适用于组织与组织之间的“建立”行为。
    *   `FRIEND_OF` / `ENEMY_OF`: 不适用。
    *   `PUSHED` / `BLOCKED`: 如前所述，“FOUNDED”比“PUSHED”更具体。

    关键在于“FOUNDED”就是用于“创立组织”。即便“慰安妇”的“Organization”属性有些牵强，但如果规则强制我们接受其为“Organization”，那么“FOUNDED”就是最直接描述“建立”该“Organization”的关系。

    根据“铁的原则是：以下几个可用关系，要覆盖所有可能的关系语义。因此，不要过度严苛。”以及“只要关系本身没有大的问题，均予保留。”，我们认为“FOUNDED”关系在这里是贴合“建立”这一行为的，并且在给定的节点类型下，没有更精确的关系能够替代它。

    尽管“慰安妇”这个概念作为“Organization”的定性可能值得商榷，但我们被严格要求“严禁质疑”，并基于给定的类型进行判断。在“大日本帝国”作为“Organization”去“建立”一个被定义为“Organization”的“慰安妇”的场景下，“FOUNDED”是最符合语义的选择。它准确地捕捉了“建立”这个核心动作，并且没有更具体的、能够替代它的关系存在。

    因此，认为该关系存在冗余，以至于需要删除，其把握程度远未达到90%的删除门槛。

    我们倾向于保留关系，因为删除意味着信息的遗失，而当前的关系“FOUNDED”虽然可能在节点类型上存在一些语义上的模糊性（尽管规则要求不质疑），但它确实传达了“大日本帝国”对“慰安妇”制度的“建立”这一核心事实。

    因此，基于现有规则，即使节点类型存在潜在的疑问，但关系类型“FOUNDED”与描述高度契合，且没有更优的、更具体的替代关系，也不存在方向错误。

    最后，再次审视“Founding”的定义：“描述实体创立组织的行为”。描述：“日本军队建立了‘慰安妇’制度”。这个“制度”在此被表示为“Organization”。“建立”与“Founding”高度一致。

    考虑到规则强调“严禁过度严苛”、“只要关系本身没有大的问题，均予保留”，并且“一旦删除意味着信息的彻底遗失”，而“当且仅当把握大于90%时，删除关系”，我们认为此处删除的可能性不大。

    即便“慰安妇”更像一个“Movement”或“Document”，但被强制定义为“Organization”时，“FOUNDED”是最直接表达“建立”该“Organization”的关系。

    我们没有发现任何理由可以确信存在一个更精确的关系可以替代“FOUNDED”，也没有发现“FOUNDED”本身有明确的错误。

结论：False (保留)'
2025-11-03 21:56:09,756 - scripts.services.llm_service - INFO - LLM决策: False (保留)
2025-11-03 21:56:44,395 - scripts.clients.wikipedia_client - INFO - 简体查询失败，尝试后备查询 '福州警備區' (繁体)...
2025-11-03 21:56:44,458 - scripts.clients.wikipedia_client - INFO - 正在通过API查询 (zh) '上海市人民政府新闻办公室'...
2025-11-03 21:56:44,500 - scripts.clients.wikipedia_client - INFO - 简体查询失败，尝试后备查询 '上海市人民政府新聞辦公室' (繁体)...
2025-11-03 21:56:44,539 - scripts.clients.wikipedia_client - INFO - 正在通过API查询 (zh) '邹晓宁'...
2025-11-03 21:56:44,577 - scripts.clients.wikipedia_client - INFO - 简体查询失败，尝试后备查询 '鄒曉寧' (繁体)...
2025-11-03 21:56:44,612 - scripts.clients.wikipedia_client - INFO - 正在通过API查询 (zh) '闫博雅'...
2025-11-03 21:56:44,649 - scripts.clients.wikipedia_client - INFO - 简体查询失败，尝试后备查询 '閆博雅' (繁体)...
2025-11-03 21:56:44,692 - scripts.clients.wikipedia_client - INFO - 正在通过API查询 (zh) '中国共产党河源市委员会'...
2025-11-03 21:56:44,729 - scripts.clients.wikipedia_client - INFO - 简体查询失败，尝试后备查询 '中國共產黨河源市委員會' (繁体)...
2025-11-03 21:56:44,769 - scripts.clients.wikipedia_client - INFO - 正在通过API查询 (zh) '中华人民共和国全国人民代表大会议事规则'...
2025-11-03 21:56:44,806 - scripts.clients.wikipedia_client - INFO - 简体查询失败，尝试后备查询 '中華人民共和國全國人民代表大會議事規則' (繁体)...
2025-11-03 21:56:44,846 - scripts.clients.wikipedia_client - INFO - 正在通过API查询 (zh) '何兵'...
2025-11-03 21:56:44,882 - scripts.clients.wikipedia_client - INFO - 正在通过API查询 (zh) '鸡西市人民政府'...
2025-11-03 21:56:44,921 - scripts.clients.wikipedia_client - INFO - 简体查询失败，尝试后备查询 '雞西市人民政府' (繁体)...
2025-11-03 21:56:44,961 - scripts.clients.wikipedia_client - INFO - 正在通过API查询 (zh) '陈碧'...
2025-11-03 21:56:45,002 - scripts.clients.wikipedia_client - INFO - 简体查询失败，尝试后备查询 '陳碧' (繁体)...
2025-11-03 21:56:45,043 - scripts.clean_data - INFO - 成功升级了 0 个节点。
2025-11-03 21:56:45,044 - scripts.clean_data - INFO - 
[*] 正在保存所有变更...
2025-11-03 21:56:45,459 - scripts.services.graph_io - INFO - 主图谱已成功保存至: /home/runner/work/Chinese-Elite/Chinese-Elite/docs/master_graph_qcode.json
2025-11-03 21:56:45,500 - scripts.clean_data - INFO - 关系清洗缓存已成功更新到磁盘。
2025-11-03 21:56:45,528 - scripts.clients.wikipedia_client - INFO - 链接状态缓存已成功更新到磁盘。
2025-11-03 21:56:45,528 - scripts.clean_data - INFO - ==============   深度维护执行完毕   =============
2025-11-03 21:56:45,534 - root - INFO - --- 步骤 3/5: 主图谱深度维护完成 ---

2025-11-03 21:56:45,534 - root - INFO - --- 步骤 4/5: 开始检查页面热度并重排列表 ---
2025-11-03 21:56:45,535 - scripts.check_pageviews - INFO - --- 开始检查页面热度 ---
2025-11-03 21:56:45,535 - scripts.check_pageviews - INFO - 正在读取列表文件: /home/runner/work/Chinese-Elite/Chinese-Elite/data/LIST.md
2025-11-03 21:56:45,563 - scripts.check_pageviews - INFO - 成功加载缓存文件: pageviews_cache.json
2025-11-03 21:56:45,614 - scripts.check_pageviews - INFO - 成功加载缓存文件: creation_date_cache.json
2025-11-03 21:56:45,621 - scripts.check_pageviews - INFO - 
--- 步骤 1/3: 筛选需要网络检查的条目 ---
2025-11-03 21:56:45,641 - scripts.check_pageviews - INFO - 预处理完成。共 29089 项，其中 24620 项将使用缓存，4469 项符合网络检查条件。
2025-11-03 21:56:45,641 - scripts.check_pageviews - INFO - 
--- 步骤 2/3: 开始对 4469 个条目进行并发网络检查 ---
2025-11-03 21:56:45,642 - scripts.check_pageviews - INFO - --- 正在处理批次 1/38 (共 120 项) ---
2025-11-03 21:56:45,643 - scripts.check_pageviews - INFO - [*] 正在网络查询: Xi Jinping (en)
2025-11-03 21:56:45,643 - scripts.check_pageviews - INFO - [*] 正在网络查询: 胡锦涛 (zh)
2025-11-03 21:56:45,643 - scripts.check_pageviews - INFO - [*] 正在网络查询: 王沪宁 (zh)
2025-11-03 21:56:45,643 - scripts.check_pageviews - INFO - [*] 正在网络查询: 华国锋 (zh)
2025-11-03 21:56:45,643 - scripts.check_pageviews - INFO - [*] 正在网络查询: 李在明 (zh)
2025-11-03 21:56:45,643 - scripts.check_pageviews - INFO - [*] 正在网络查询: 曹操 (zh)
2025-11-03 21:56:45,643 - scripts.check_pageviews - INFO - [*] 正在网络查询: 成吉思汗 (zh)
2025-11-03 21:56:45,643 - scripts.check_pageviews - INFO - [*] 正在网络查询: 司马懿 (zh)
2025-11-03 21:56:45,644 - scripts.check_pageviews - INFO - [*] 正在网络查询: 齐桥桥 (zh)
2025-11-03 21:56:45,644 - scripts.check_pageviews - INFO - [*] 正在网络查询: 汪洋 (1955年) (zh)
2025-11-03 21:56:45,644 - scripts.check_pageviews - INFO - [*] 正在网络查询: 朱德 (zh)
2025-11-03 21:56:45,644 - scripts.check_pageviews - INFO - [*] 正在网络查询: 蔡正元 (zh)
2025-11-03 21:56:45,644 - scripts.check_pageviews - INFO - [*] 正在网络查询: 毛岸英 (zh)
2025-11-03 21:56:45,644 - scripts.check_pageviews - INFO - [*] 正在网络查询: 林徽因 (zh)
2025-11-03 21:56:45,644 - scripts.check_pageviews - INFO - [*] 正在网络查询: 宋徽宗 (zh)
2025-11-03 21:56:45,644 - scripts.check_pageviews - INFO - [*] 正在网络查询: 古巨基 (zh)
2025-11-03 21:56:45,645 - scripts.check_pageviews - INFO - [*] 正在网络查询: 刘鹤 (zh)
2025-11-03 21:56:45,645 - scripts.check_pageviews - INFO - [*] 正在网络查询: 宋楚瑜 (zh)
2025-11-03 21:56:45,645 - scripts.check_pageviews - INFO - [*] 正在网络查询: 文昭甄皇后 (zh)
2025-11-03 21:56:45,645 - scripts.check_pageviews - INFO - [*] 正在网络查询: 邵逸夫 (zh)
2025-11-03 21:56:45,645 - scripts.check_pageviews - INFO - [*] 正在网络查询: 王明 (zh)
2025-11-03 21:56:45,645 - scripts.check_pageviews - INFO - [*] 正在网络查询: 賴清德 (zh)
2025-11-03 21:56:45,645 - scripts.check_pageviews - INFO - [*] 正在网络查询: 毛宁 (外交官) (zh)
2025-11-03 21:56:45,645 - scripts.check_pageviews - INFO - [*] 正在网络查询: 列昂尼德·勃列日涅夫 (zh)
2025-11-03 21:56:45,646 - scripts.check_pageviews - INFO - [*] 正在网络查询: 梁思成 (zh)
2025-11-03 21:56:45,646 - scripts.check_pageviews - INFO - [*] 正在网络查询: 郝明珠 (zh)
2025-11-03 21:56:45,646 - scripts.check_pageviews - INFO - [*] 正在网络查询: 保罗 (使徒) (zh)
2025-11-03 21:56:45,646 - scripts.check_pageviews - INFO - [*] 正在网络查询: 袁隆平 (zh)
2025-11-03 21:56:45,646 - scripts.check_pageviews - INFO - [*] 正在网络查询: 西奥多·罗斯福 (zh)
2025-11-03 21:56:45,646 - scripts.check_pageviews - INFO - [*] 正在网络查询: 范仲淹 (zh)
2025-11-03 21:56:45,646 - scripts.check_pageviews - INFO - [*] 正在网络查询: 聂荣臻 (zh)
2025-11-03 21:56:45,646 - scripts.check_pageviews - INFO - [*] 正在网络查询: 蔡元培 (zh)
2025-11-03 21:56:45,646 - scripts.check_pageviews - INFO - [*] 正在网络查询: 唐生智 (zh)
2025-11-03 21:56:45,647 - scripts.check_pageviews - INFO - [*] 正在网络查询: 蒋超良 (zh)
2025-11-03 21:56:45,647 - scripts.check_pageviews - INFO - [*] 正在网络查询: 吴官正 (zh)
2025-11-03 21:56:45,647 - scripts.check_pageviews - INFO - [*] 正在网络查询: 江泽民 (zh)
2025-11-03 21:56:45,647 - scripts.check_pageviews - INFO - [*] 正在网络查询: 鳌拜 (zh)
2025-11-03 21:56:45,647 - scripts.check_pageviews - INFO - [*] 正在网络查询: 君士坦丁大帝 (zh)
2025-11-03 21:56:45,647 - scripts.check_pageviews - INFO - [*] 正在网络查询: Jiang Zemin (en)
2025-11-03 21:56:45,647 - scripts.check_pageviews - INFO - [*] 正在网络查询: 饶漱石 (zh)
2025-11-03 21:56:45,647 - scripts.check_pageviews - INFO - [*] 正在网络查询: 柯俊雄 (zh)
2025-11-03 21:56:45,647 - scripts.check_pageviews - INFO - [*] 正在网络查询: 邱毅 (zh)
2025-11-03 21:56:45,648 - scripts.check_pageviews - INFO - [*] 正在网络查询: 柯承發 (zh)
2025-11-03 21:56:45,648 - scripts.check_pageviews - INFO - [*] 正在网络查询: 刘思齐 (zh)
2025-11-03 21:56:45,648 - scripts.check_pageviews - INFO - [*] 正在网络查询: 谷正文 (zh)
2025-11-03 21:56:45,648 - scripts.check_pageviews - INFO - [*] 正在网络查询: 内维尔·张伯伦 (zh)
2025-11-03 21:56:45,649 - scripts.check_pageviews - INFO - [*] 正在网络查询: 袁术 (zh)
2025-11-03 21:56:45,649 - scripts.check_pageviews - INFO - [*] 正在网络查询: 文绣 (zh)
2025-11-03 21:56:45,649 - scripts.check_pageviews - INFO - [*] 正在网络查询: 孟凡利 (1965年) (zh)
2025-11-03 21:56:45,649 - scripts.check_pageviews - INFO - [*] 正在网络查询: 陈梦 (zh)
2025-11-03 21:56:45,649 - scripts.check_pageviews - INFO - [*] 正在网络查询: 苏炳添 (zh)
2025-11-03 21:56:45,649 - scripts.check_pageviews - INFO - [*] 正在网络查询: 張國榮 (zh)
2025-11-03 21:56:45,649 - scripts.check_pageviews - INFO - [*] 正在网络查询: 孔令俊 (1919年) (zh)
2025-11-03 21:56:45,649 - scripts.check_pageviews - INFO - [*] 正在网络查询: 柏夫人 (zh)
2025-11-03 21:56:45,650 - scripts.check_pageviews - INFO - [*] 正在网络查询: 阿都拉·巴达威 (zh)
2025-11-03 21:56:45,650 - scripts.check_pageviews - INFO - [*] 正在网络查询: 向忠发 (zh)
2025-11-03 21:56:45,650 - scripts.check_pageviews - INFO - [*] 正在网络查询: 罗贯中 (zh)
2025-11-03 21:56:45,650 - scripts.check_pageviews - INFO - [*] 正在网络查询: 晋文公 (zh)
2025-11-03 21:56:45,650 - scripts.check_pageviews - INFO - [*] 正在网络查询: 周亚夫 (zh)
2025-11-03 21:56:45,650 - scripts.check_pageviews - INFO - [*] 正在网络查询: 蒋英 (歌唱家) (zh)
2025-11-03 21:56:45,650 - scripts.check_pageviews - INFO - [*] 正在网络查询: 林觉民 (zh)
2025-11-03 21:56:45,650 - scripts.check_pageviews - INFO - [*] 正在网络查询: 朱雄英 (zh)
2025-11-03 21:56:45,650 - scripts.check_pageviews - INFO - [*] 正在网络查询: 永璂 (zh)
2025-11-03 21:56:45,651 - scripts.check_pageviews - INFO - [*] 正在网络查询: 黎明 (zh)
2025-11-03 21:56:45,651 - scripts.check_pageviews - INFO - [*] 正在网络查询: 哈維爾·米萊 (zh)
2025-11-03 21:56:45,651 - scripts.check_pageviews - INFO - [*] 正在网络查询: 骆家辉 (zh)
2025-11-03 21:56:45,651 - scripts.check_pageviews - INFO - [*] 正在网络查询: 田纪云 (zh)
2025-11-03 21:56:45,651 - scripts.check_pageviews - INFO - [*] 正在网络查询: 黄丽满 (zh)
2025-11-03 21:56:45,651 - scripts.check_pageviews - INFO - [*] 正在网络查询: 亚历山大三世 (俄罗斯) (zh)
2025-11-03 21:56:45,651 - scripts.check_pageviews - INFO - [*] 正在网络查询: 韓世明 (zh)
2025-11-03 21:56:45,651 - scripts.check_pageviews - INFO - [*] 正在网络查询: 梁朝偉 (zh)
2025-11-03 21:56:45,652 - scripts.check_pageviews - INFO - [*] 正在网络查询: 张献忠 (zh)
2025-11-03 21:56:45,652 - scripts.check_pageviews - INFO - [*] 正在网络查询: 鲁迅 (zh)
2025-11-03 21:56:45,652 - scripts.check_pageviews - INFO - [*] 正在网络查询: 华雄 (zh)
2025-11-03 21:56:45,652 - scripts.check_pageviews - INFO - [*] 正在网络查询: 高台院 (zh)
2025-11-03 21:56:45,652 - scripts.check_pageviews - INFO - [*] 正在网络查询: 陳玉鈴 (zh)
2025-11-03 21:56:45,652 - scripts.check_pageviews - INFO - [*] 正在网络查询: 張愛玲 (zh)
2025-11-03 21:56:45,652 - scripts.check_pageviews - INFO - [*] 正在网络查询: 吴清 (zh)
2025-11-03 21:56:45,652 - scripts.check_pageviews - INFO - [*] 正在网络查询: 许其亮 (zh)
2025-11-03 21:56:45,652 - scripts.check_pageviews - INFO - [*] 正在网络查询: 林培瑞 (zh)
2025-11-03 21:56:45,653 - scripts.check_pageviews - INFO - [*] 正在网络查询: 宋子良 (zh)
2025-11-03 21:56:45,653 - scripts.check_pageviews - INFO - [*] 正在网络查询: 安德海 (zh)
2025-11-03 21:56:45,653 - scripts.check_pageviews - INFO - [*] 正在网络查询: 端方 (zh)
2025-11-03 21:56:45,653 - scripts.check_pageviews - INFO - [*] 正在网络查询: 潘岳 (1960年) (zh)
2025-11-03 21:56:45,653 - scripts.check_pageviews - INFO - [*] 正在网络查询: 菲利普 (比利时国王) (zh)
2025-11-03 21:56:45,653 - scripts.check_pageviews - INFO - [*] 正在网络查询: 朱柏 (zh)
2025-11-03 21:56:45,653 - scripts.check_pageviews - INFO - [*] 正在网络查询: 劳安 (zh)
2025-11-03 21:56:45,653 - scripts.check_pageviews - INFO - [*] 正在网络查询: 窦建德 (zh)
2025-11-03 21:56:45,653 - scripts.check_pageviews - INFO - [*] 正在网络查询: 矮子丕平 (zh)
2025-11-03 21:56:45,654 - scripts.check_pageviews - INFO - [*] 正在网络查询: 李鴻章 (zh)
2025-11-03 21:56:45,654 - scripts.check_pageviews - INFO - [*] 正在网络查询: 达龙·阿杰姆奥卢 (zh)
2025-11-03 21:56:45,654 - scripts.check_pageviews - INFO - [*] 正在网络查询: 李阳 (zh)
2025-11-03 21:56:45,654 - scripts.check_pageviews - INFO - [*] 正在网络查询: 何祚庥 (zh)
2025-11-03 21:56:45,654 - scripts.check_pageviews - INFO - [*] 正在网络查询: 李师师 (zh)
2025-11-03 21:56:45,654 - scripts.check_pageviews - INFO - [*] 正在网络查询: 赵乐秦 (zh)
2025-11-03 21:56:45,654 - scripts.check_pageviews - INFO - [*] 正在网络查询: 张云逸 (zh)
2025-11-03 21:56:45,654 - scripts.check_pageviews - INFO - [*] 正在网络查询: 李光耀 (zh)
2025-11-03 21:56:45,654 - scripts.check_pageviews - INFO - [*] 正在网络查询: 崇禎帝 (zh)
2025-11-03 21:56:45,654 - scripts.check_pageviews - INFO - [*] 正在网络查询: 温斯顿·丘吉尔 (zh)
2025-11-03 21:56:45,654 - scripts.check_pageviews - INFO - [*] 正在网络查询: 阿卜杜勒-阿齐兹·本·阿卜杜拉赫曼·本·费萨尔·阿勒沙特 (zh)
2025-11-03 21:56:45,654 - scripts.check_pageviews - INFO - [*] 正在网络查询: 覃伟中 (zh)
2025-11-03 21:56:45,654 - scripts.check_pageviews - INFO - [*] 正在网络查询: 陳菊 (zh)
2025-11-03 21:56:45,655 - scripts.check_pageviews - INFO - [*] 正在网络查询: 张申府 (zh)
2025-11-03 21:56:45,655 - scripts.check_pageviews - INFO - [*] 正在网络查询: 戴季英 (zh)
2025-11-03 21:56:45,655 - scripts.check_pageviews - INFO - [*] 正在网络查询: 雷军 (zh)
2025-11-03 21:56:45,655 - scripts.check_pageviews - INFO - [*] 正在网络查询: 粟戎生 (zh)
2025-11-03 21:56:45,655 - scripts.check_pageviews - INFO - [*] 正在网络查询: 李先念 (zh)
2025-11-03 21:56:45,655 - scripts.check_pageviews - INFO - [*] 正在网络查询: 董承 (zh)
2025-11-03 21:56:45,655 - scripts.check_pageviews - INFO - [*] 正在网络查询: 邓发 (zh)
2025-11-03 21:56:45,655 - scripts.check_pageviews - INFO - [*] 正在网络查询: 雪克来提·扎克尔 (zh)
2025-11-03 21:56:45,656 - scripts.check_pageviews - INFO - [*] 正在网络查询: 道格拉斯·麦克阿瑟 (zh)
2025-11-03 21:56:45,656 - scripts.check_pageviews - INFO - [*] 正在网络查询: 吴化文 (zh)
2025-11-03 21:56:45,656 - scripts.check_pageviews - INFO - [*] 正在网络查询: 安子文 (zh)
2025-11-03 21:56:45,656 - scripts.check_pageviews - INFO - [*] 正在网络查询: 万宝宝 (zh)
2025-11-03 21:56:45,656 - scripts.check_pageviews - INFO - [*] 正在网络查询: 梁齊昕 (zh)
2025-11-03 21:56:45,656 - scripts.check_pageviews - INFO - [*] 正在网络查询: 吳欣盈 (zh)
2025-11-03 21:56:45,656 - scripts.check_pageviews - INFO - [*] 正在网络查询: 陈天华 (zh)
2025-11-03 21:56:45,656 - scripts.check_pageviews - INFO - [*] 正在网络查询: 赵清阁 (zh)
2025-11-03 21:56:45,656 - scripts.check_pageviews - INFO - [*] 正在网络查询: 蔣孝文 (zh)
2025-11-03 21:56:45,657 - scripts.check_pageviews - INFO - [*] 正在网络查询: 納豆 (藝人) (zh)
2025-11-03 21:58:45,549 - scripts.check_pageviews - INFO - 批次 1 处理完毕，暂停 5 秒以降低API请求频率...
2025-11-03 21:58:50,554 - scripts.check_pageviews - INFO - --- 正在处理批次 2/38 (共 120 项) ---
2025-11-03 21:58:50,555 - scripts.check_pageviews - INFO - [*] 正在网络查询: 吳怡農 (zh)
2025-11-03 21:58:50,555 - scripts.check_pageviews - INFO - [*] 正在网络查询: 白起 (zh)
2025-11-03 21:58:50,555 - scripts.check_pageviews - INFO - [*] 正在网络查询: 郭雨新 (zh)
2025-11-03 21:58:50,556 - scripts.check_pageviews - INFO - [*] 正在网络查询: 金枓奉 (zh)
2025-11-03 21:58:50,556 - scripts.check_pageviews - INFO - [*] 正在网络查询: 汉光武帝 (zh)
2025-11-03 21:58:50,556 - scripts.check_pageviews - INFO - [*] 正在网络查询: 付国豪 (zh)
2025-11-03 21:58:50,556 - scripts.check_pageviews - INFO - [*] 正在网络查询: 侯镜如 (zh)
2025-11-03 21:58:50,556 - scripts.check_pageviews - INFO - [*] 正在网络查询: 武维华 (zh)
2025-11-03 21:58:50,556 - scripts.check_pageviews - INFO - [*] 正在网络查询: 邵新宇 (zh)
2025-11-03 21:58:50,556 - scripts.check_pageviews - INFO - [*] 正在网络查询: 李力群 (zh)
2025-11-03 21:58:50,556 - scripts.check_pageviews - INFO - [*] 正在网络查询: 雅科夫·朱加什维利 (zh)
2025-11-03 21:58:50,557 - scripts.check_pageviews - INFO - [*] 正在网络查询: 王陽明 (zh)
2025-11-03 21:58:50,557 - scripts.check_pageviews - INFO - [*] 正在网络查询: 荣宗敬 (zh)
2025-11-03 21:58:50,557 - scripts.check_pageviews - INFO - [*] 正在网络查询: 汪东兴 (zh)
2025-11-03 21:58:50,557 - scripts.check_pageviews - INFO - [*] 正在网络查询: 林佳楣 (zh)
2025-11-03 21:58:50,557 - scripts.check_pageviews - INFO - [*] 正在网络查询: 王西欣 (zh)
2025-11-03 21:58:50,557 - scripts.check_pageviews - INFO - [*] 正在网络查询: 施紀賢 (zh)
2025-11-03 21:58:50,557 - scripts.check_pageviews - INFO - [*] 正在网络查询: 司马亮 (zh)
2025-11-03 21:58:50,557 - scripts.check_pageviews - INFO - [*] 正在网络查询: 隋炀帝 (zh)
2025-11-03 21:58:50,558 - scripts.check_pageviews - INFO - [*] 正在网络查询: 戈登·布朗 (zh)
2025-11-03 21:58:50,558 - scripts.check_pageviews - INFO - [*] 正在网络查询: 鄭欣宜 (zh)
2025-11-03 21:58:50,558 - scripts.check_pageviews - INFO - [*] 正在网络查询: 乌兰夫 (zh)
2025-11-03 21:58:50,558 - scripts.check_pageviews - INFO - [*] 正在网络查询: 乔治六世 (zh)
2025-11-03 21:58:50,558 - scripts.check_pageviews - INFO - [*] 正在网络查询: 陈青敏 (zh)
2025-11-03 21:58:50,558 - scripts.check_pageviews - INFO - [*] 正在网络查询: 河本大作 (zh)
2025-11-03 21:58:50,558 - scripts.check_pageviews - INFO - [*] 正在网络查询: 黄帝 (zh)
2025-11-03 21:58:50,558 - scripts.check_pageviews - INFO - [*] 正在网络查询: 何叔衡 (zh)
2025-11-03 21:58:50,559 - scripts.check_pageviews - INFO - [*] 正在网络查询: 朱允熙 (zh)
2025-11-03 21:58:50,559 - scripts.check_pageviews - INFO - [*] 正在网络查询: 郭世英 (zh)
2025-11-03 21:58:50,559 - scripts.check_pageviews - INFO - [*] 正在网络查询: 金铁霖 (zh)
2025-11-03 21:58:50,559 - scripts.check_pageviews - INFO - [*] 正在网络查询: 胡茵梦 (zh)
2025-11-03 21:58:50,559 - scripts.check_pageviews - INFO - [*] 正在网络查询: 謝長廷 (zh)
2025-11-03 21:58:50,559 - scripts.check_pageviews - INFO - [*] 正在网络查询: 穆彰阿 (zh)
2025-11-03 21:58:50,559 - scripts.check_pageviews - INFO - [*] 正在网络查询: 海瑞 (zh)
2025-11-03 21:58:50,559 - scripts.check_pageviews - INFO - [*] 正在网络查询: 董健吾 (zh)
2025-11-03 21:58:50,560 - scripts.check_pageviews - INFO - [*] 正在网络查询: 宋靄齡 (zh)
2025-11-03 21:58:50,560 - scripts.check_pageviews - INFO - [*] 正在网络查询: 林克庆 (zh)
2025-11-03 21:58:50,560 - scripts.check_pageviews - INFO - [*] 正在网络查询: 朝永振一郎 (zh)
2025-11-03 21:58:50,560 - scripts.check_pageviews - INFO - [*] 正在网络查询: 韩倞 (zh)
2025-11-03 21:58:50,560 - scripts.check_pageviews - INFO - [*] 正在网络查询: 宋健 (zh)
2025-11-03 21:58:50,560 - scripts.check_pageviews - INFO - [*] 正在网络查询: 馬丁·路德 (zh)
2025-11-03 21:58:50,560 - scripts.check_pageviews - INFO - [*] 正在网络查询: 时传祥 (zh)
2025-11-03 21:58:50,560 - scripts.check_pageviews - INFO - [*] 正在网络查询: 古斯塔夫·埃菲尔 (zh)
2025-11-03 21:58:50,561 - scripts.check_pageviews - INFO - [*] 正在网络查询: 吕不韦 (zh)
2025-11-03 21:58:50,561 - scripts.check_pageviews - INFO - [*] 正在网络查询: 胤祥 (zh)
2025-11-03 21:58:50,561 - scripts.check_pageviews - INFO - [*] 正在网络查询: 何维 (zh)
2025-11-03 21:58:50,561 - scripts.check_pageviews - INFO - [*] 正在网络查询: 隋文帝 (zh)
2025-11-03 21:58:50,561 - scripts.check_pageviews - INFO - [*] 正在网络查询: 丰绅殷德 (zh)
2025-11-03 21:58:50,561 - scripts.check_pageviews - INFO - [*] 正在网络查询: 徐景贤 (zh)
